Company	Ticker	Year	Quarter	Rater	Type	Sentiment Score	Decision	Time	Prior Close	Next Day Open	Actual % Change	Actual Direction	Prediction Correct	Position	Net P&L	Notes
Disney		2025	Q3	Ben/DeepSeek	LLM	0.22	HOLD		116.63	114.13						Tone: confident. Risks: China consumer per caps stress: 'China, as we've noted on past calls, is a little bit; Tough comps for Content segment in Q4: 'we will be overlapping Inside Out 2 from last. [Micro=0.35; Blend=0.22] [news]
Disney		2025	Q4	Ben/DeepSeek	LLM	0.27	BUY		114.99	107.34						Tone: confident. Risks: Ongoing carriage dispute with YouTube TV; management noted a hedge was built into gui; Content-driven cost pressure in Sports segment in Q2 and Q3 FY26, primarily from NBA. [Micro=0.30; Blend=0.27] [news]
JPMorgan		2025	Q1	Ben/DeepSeek	LLM	-0.46	SELL		221.78	221.00						Tone: cautious. Risks: Elevated uncertainty from tariff policy and geopolitical issues, with a 50-50 probabi; Lower expected front-end rates (three cuts in the curve vs. one cut last quarter) cre. [Micro=-0.50; Blend=-0.46] [news]
JPMorgan		2026	Q1	Ben/DeepSeek	LLM	0.05	HOLD		309.72	312.54						Tone: confident. Risks: Geopolitical tensions and wars; Energy price volatility. [Micro=0.10; Blend=0.05] [news]
JPMorgan		2025	Q2	Ben/DeepSeek	LLM	0.28	BUY		281.17	282.99						Tone: confident. Risks: Impact of lower rates and deposit margin compression on NII.; Higher expenses driven by compensation, brokerage, distribution fees, and auto lease. [Micro=0.30; Blend=0.28] [news]
JPMorgan		2025	Q3	Ben/DeepSeek	LLM	0.12	HOLD		297.85	302.10						Tone: confident. Risks: Potentially softening labor market.; Wholesale charge-offs slightly elevated due to apparent fraud in certain secured lend. [Micro=0.15; Blend=0.12] [news]
JPMorgan		2025	Q4	Ben/DeepSeek	LLM	0.13	HOLD		307.93	305.26						Tone: optimistic. Risks: Potential credit card APR caps could dramatically reduce access to credit and harm th; Geopolitical risk is described as 'an enormous amount of risk' that may affect the ec. [Micro=0.20; Blend=0.13] [news]
Netflix		2025	Q1	Ben/DeepSeek	LLM	0.09	HOLD		97.30	98.44						Tone: confident. Risks: Macroeconomic uncertainty and consumer sentiment: 'We’re paying close attention, clea; Foreign exchange headwinds: Revenue growth partially offset by F/X, net of hedging.. [Micro=0.15; Blend=0.09] [news]
Netflix		2026	Q1	Ben/DeepSeek	LLM	0.12	HOLD		107.79	96.37						Tone: confident. Risks: Competition from Alphabet, Amazon, Apple, Comcast, Disney, local media, Meta, Roblox,; Content amortization growth first-half weighted, with Q2 having the highest YoY growt. [Micro=0.15; Blend=0.12] [news]
Netflix		2025	Q2	Ben/DeepSeek	LLM	0.27	BUY		127.42	124.20						Tone: confident. Risks: Engagement per owner household has been 'relatively steady' for 2.5 years, not growin; Management acknowledges that the 2025 slate is 'unusually second-half weighted,' crea. [Micro=0.30; Blend=0.27] [news]
Netflix		2025	Q3	Ben/DeepSeek	LLM	-0.03	HOLD		124.14	114.29						Tone: confident. Risks: Brazil tax dispute: a $619M expense covering 2022–2025, with ongoing quarterly cost o; Intensifying live-sports competition (Apple F1, Paramount UFC).. [Micro=0.00; Blend=-0.03] [news]
Netflix		2024	Q4	Ben/DeepSeek	LLM	0.58	BUY		86.97	99.80						Tone: confident. Risks: Full-season big-league sports economics remain extremely challenging (Sarandos: 'does; FX volatility: ~60% of revenue is non-USD, with hedging only covering ~50% on a rolli. [Micro=0.80; Blend=0.58] [news]
Netflix		2025	Q4	Ben/DeepSeek	LLM	0.42	BUY		87.26	82.52						Tone: confident. Risks: Growth deceleration from 16% to 14% year-on-year.; Pending WBD acquisition introduces regulatory and execution overhang.. [Micro=0.60; Blend=0.42] [news]
