# Section Boundary Audit (amended definitions)
# Run ID: 20260820T150023Z
# Timestamp: 2026-08-20T15:00:25.293668+00:00
# Minimum half word count: 100
# Minimum prepared fraction: 10%
#
# Exclusion rule (fixed before timing classification was visible):
# Events whose release timing cannot be sourced from a documented public
# timestamp are excluded from grading, as are events with intraday timing.
# This rule was fixed before the timing classification was visible.
# Timestamp: 2026-08-11T23:00:00Z
#
# Amended boundary definitions:
# 1. Press Release: Content delimited by === PRESS RELEASE === header.
# 2. Prepared Remarks: Within transcript, operator opening through Q&A transition.
#    Strict precedence: (a) FactSet QUESTION AND ANSWER SECTION header,
#    (b) natural-language transition phrase, (c) if neither: manual.
#    [Operator Instructions] NOT used as primary marker.
# 3. Guidance Passage: Untestable (mechanically infeasible).
# 4. Q&A: From transition marker through end of transcript block.
#
# Known recoverable losses (not recovered, 3 weeks to deadline):
#   WDAY x3: IR boilerplate transition phrase in intro (InsiderMonkey/Globe and Mail)
#   NFLX x6: InsiderMonkey moderator intro transition phrase
#   These are per-source formatting issues, recoverable with source-specific markers.
#
# Transcript/marker reconciliation: 231 have transcript, 6 have no marker
#   (3 truncated LLY, 2 raw-HTML PEP, 1 misattributed SPOT).
#
document_id,ticker,issuer,report_date,press_release,prepared_remarks,qa,transcript_split_marker,min_half_wordcount,doc_types_present,has_human_worksheet,notes,run_id
C_FQ1_2025,C,p2_citigroup,2025-04-15,available,absent,absent,none,,SUPPLEMENTAL INFORMATION; PRESS RELEASE; EARNINGS PRESENTATION,False,no transcript section,20260820T150023Z
C_FQ2_2025,C,p2_citigroup,2025-07-15,available,absent,absent,none,,SUPPLEMENTAL INFORMATION; PRESS RELEASE; EARNINGS PRESENTATION,False,no transcript section,20260820T150023Z
C_FQ3_2025,C,p2_citigroup,2025-10-14,available,absent,absent,none,,SUPPLEMENTAL INFORMATION; PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS PRESENTATION,False,no transcript section,20260820T150023Z
C_FQ4_2025,C,p2_citigroup,2026-01-14,available,absent,absent,none,,SUPPLEMENTAL INFORMATION; PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS PRESENTATION; SUPPLEMENTAL INFORMATION,False,no transcript section,20260820T150023Z
KO_FQ1_2026,KO,p2_coca_cola,2026-04-28,available,available,available,transition_phrase,3045,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
KO_FQ2_2025,KO,p2_coca_cola,2025-07-22,available,available,available,transition_phrase,3262,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
KO_FQ4_2025,KO,p2_coca_cola,2026-02-10,available,available,available,transition_phrase,3449,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
COIN_FQ1_2026,COIN,p2_coinbase,2026-05-07,absent,available,available,transition_phrase,2815,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
COIN_FQ3_2025,COIN,p2_coinbase,2025-10-30,absent,available,available,transition_phrase,1664,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
COIN_FQ4_2025,COIN,p2_coinbase,2026-02-12,absent,available,available,transition_phrase,2363,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
LLY_FQ1_2026,LLY,p2_eli_lilly,2026-04-29,absent,manual,manual,none,,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,no Q&A transition marker found,20260820T150023Z
LLY_FQ3_2025,LLY,p2_eli_lilly,2025-10-29,absent,manual,manual,none,,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,no Q&A transition marker found,20260820T150023Z
LLY_FQ4_2025,LLY,p2_eli_lilly,2026-02-03,absent,manual,manual,none,,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,no Q&A transition marker found,20260820T150023Z
GS_FQ1_2025,GS,p2_goldman_sachs,2025-04-11,available,available,available,transition_phrase,2669,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
GS_FQ1_2026,GS,p2_goldman_sachs,2026-04-10,available,available,available,transition_phrase,3620,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
GS_FQ2_2025,GS,p2_goldman_sachs,2025-07-15,available,available,available,transition_phrase,3975,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
GS_FQ2_2026,GS,p2_goldman_sachs,2026-07-13,available,available,available,transition_phrase,3355,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
GS_FQ3_2025,GS,p2_goldman_sachs,2025-10-13,available,available,available,transition_phrase,2786,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
GS_FQ4_2025,GS,p2_goldman_sachs,2026-01-14,available,available,available,transition_phrase,5230,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
IBM_FQ1_2026,IBM,p2_ibm,2026-04-22,absent,available,available,transition_phrase,3731,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
IBM_FQ2_2025,IBM,p2_ibm,2025-07-23,absent,available,available,transition_phrase,3460,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
IBM_FQ4_2025,IBM,p2_ibm,2026-01-28,absent,available,available,transition_phrase,4590,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
LOW_FQ1_2025,LOW,p2_lowes,2026-05-21,available,available,available,transition_phrase,4195,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
LOW_FQ1_2026,LOW,p2_lowes,2026-05-20,available,available,available,transition_phrase,4099,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
LOW_FQ2_2025,LOW,p2_lowes,2025-08-20,available,available,available,transition_phrase,4678,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
LOW_FQ3_2025,LOW,p2_lowes,2025-11-19,available,available,available,transition_phrase,4601,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
LOW_FQ4_2025,LOW,p2_lowes,2026-02-25,available,available,available,transition_phrase,4782,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
LULU_FQ1_2026,LULU,p2_lululemon,2026-06-04,available,available,available,transition_phrase,1340,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
LULU_FQ3_2025,LULU,p2_lululemon,2025-12-11,available,available,available,transition_phrase,2001,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
LULU_FQ4_2025,LULU,p2_lululemon,2026-03-17,available,available,available,transition_phrase,1595,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
AMKBY_FQ1_2025,AMKBY,p2_maersk,2025-05-07,absent,available,available,transition_phrase,3706,EARNINGS DOCUMENT; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
AMKBY_FQ2_2025,AMKBY,p2_maersk,2025-08-07,absent,available,available,transition_phrase,3482,EARNINGS DOCUMENT; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
AMKBY_FQ3_2025,AMKBY,p2_maersk,2025-11-05,absent,available,available,transition_phrase,3760,EARNINGS DOCUMENT; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
AMKBY_FQ4_2025,AMKBY,p2_maersk,2026-02-05,available,available,available,transition_phrase,4582,EARNINGS PRESENTATION; PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
MCD_FQ1_2026,MCD,p2_mcdonalds,2026-05-07,absent,available,available,transition_phrase,3464,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,,20260820T150023Z
MCD_FQ4_2024,MCD,p2_mcdonalds,2025-02-10,absent,manual,manual,transition_phrase,58,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,"min-half wordcount 58 < 100 (prepared=58, qa=11024); marker was transition_phrase",20260820T150023Z
MCD_FQ4_2025,MCD,p2_mcdonalds,2026-02-11,absent,available,available,transition_phrase,4755,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
META_FQ1_2026,META,p2_meta,2026-04-29,absent,available,available,transition_phrase,3993,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
META_FQ3_2025,META,p2_meta,2025-10-29,absent,available,available,transition_phrase,3938,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
META_FQ4_2025,META,p2_meta,2026-01-28,absent,available,available,transition_phrase,4045,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
NKE_FQ1_2025,NKE,p2_nike,2024-10-01,absent,available,available,transition_phrase,4013,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
NKE_FQ2_2025,NKE,p2_nike,2024-12-19,absent,manual,manual,transition_phrase,59,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,"min-half wordcount 59 < 100 (prepared=59, qa=10624); marker was transition_phrase",20260820T150023Z
NKE_FQ3_2025,NKE,p2_nike,2025-03-20,absent,manual,manual,transition_phrase,58,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,"min-half wordcount 58 < 100 (prepared=58, qa=10180); marker was transition_phrase",20260820T150023Z
NVDA_FQ1_2025,NVDA,p2_nvidia,2025-02-26,absent,manual,manual,transition_phrase,461,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,True,"prepared fraction 5.2% < 10% (prepared=461, transcript=8799); marker was transition_phrase",20260820T150023Z
NVDA_FQ2_2025,NVDA,p2_nvidia,2025-05-28,absent,available,available,transition_phrase,4029,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,True,,20260820T150023Z
NVDA_FQ3_2025,NVDA,p2_nvidia,2025-08-27,absent,available,available,transition_phrase,3346,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,True,,20260820T150023Z
NVDA_FQ4_2025,NVDA,p2_nvidia,2025-11-19,absent,available,available,transition_phrase,4637,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,True,,20260820T150023Z
TSLA_FQ1_2026,TSLA,p2_tesla,2026-04-22,absent,available,available,transition_phrase,3113,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
TSLA_FQ3_2025,TSLA,p2_tesla,2025-10-22,absent,available,available,transition_phrase,4525,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
TSLA_FQ4_2025,TSLA,p2_tesla,2026-01-28,absent,available,available,transition_phrase,3738,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
UBER_FQ1_2025,UBER,p2_uber,2025-05-06,available,available,available,factset_header,828,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
UBER_FQ1_2026,UBER,p2_uber,2026-05-05,available,available,available,factset_header,852,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
UBER_FQ2_2025,UBER,p2_uber,2025-08-05,available,available,available,factset_header,787,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
UBER_FQ4_2025,UBER,p2_uber,2026-02-03,available,available,available,factset_header,1281,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
WMT_FQ1_2025,WMT,p2_walmart,2025-05-14,absent,available,available,factset_header,4205,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,False,,20260820T150023Z
WMT_FQ1_2026,WMT,p2_walmart,2026-05-20,absent,available,available,factset_header,3375,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,False,,20260820T150023Z
WMT_FQ2_2025,WMT,p2_walmart,2025-08-20,absent,manual,manual,transition_phrase,326,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,False,"prepared fraction 2.7% < 10% (prepared=326, transcript=12085); marker was transition_phrase",20260820T150023Z
WMT_FQ3_2025,WMT,p2_walmart,2025-11-19,absent,available,available,factset_header,3928,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,False,,20260820T150023Z
WMT_FQ4_2025,WMT,p2_walmart,2026-02-18,absent,available,available,factset_header,3262,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,False,,20260820T150023Z
BAC_FQ1_2025,BAC,p2_bank_of_america,2025-04-15,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,False,no transcript section,20260820T150023Z
BAC_FQ2_2025,BAC,p2_bank_of_america,2025-07-15,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,False,no transcript section,20260820T150023Z
BAC_FQ3_2025,BAC,p2_bank_of_america,2025-10-14,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,False,no transcript section,20260820T150023Z
BAC_FQ4_2025,BAC,p2_bank_of_america,2026-01-13,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,False,no transcript section,20260820T150023Z
BA_FQ1_2025,BA,p2_boeing,2025-04-23,available,available,available,factset_header,3904,EARNINGS PRESENTATION; PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
BA_FQ2_2025,BA,p2_boeing,2025-07-29,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE,False,no transcript section,20260820T150023Z
BA_FQ3_2025,BA,p2_boeing,2025-10-29,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE,False,no transcript section,20260820T150023Z
BA_FQ4_2025,BA,p2_boeing,2026-01-26,available,available,available,transition_phrase,4124,EARNINGS DOCUMENT; EARNINGS PRESENTATION; PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
DIS_FQ1_2025,DIS,p2_disney,2025-02-05,available,manual,manual,transition_phrase,83,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"min-half wordcount 83 < 100 (prepared=83, qa=6110); marker was transition_phrase",20260820T150023Z
DIS_FQ3_2025,DIS,p2_disney,2025-08-05,available,manual,manual,transition_phrase,378,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"prepared fraction 4.9% < 10% (prepared=378, transcript=7714); marker was transition_phrase",20260820T150023Z
DIS_FQ4_2025,DIS,p2_disney,2025-11-12,available,manual,manual,transition_phrase,380,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"prepared fraction 4.9% < 10% (prepared=380, transcript=7754); marker was transition_phrase",20260820T150023Z
JPM_FQ1_2025,JPM,p2_jpm,2025-04-10,absent,available,available,transition_phrase,1730,EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
JPM_FQ1_2026,JPM,p2_jpm,2026-04-14,available,available,available,transition_phrase,1312,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
JPM_FQ2_2025,JPM,p2_jpm,2025-07-15,absent,available,available,transition_phrase,1368,EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
JPM_FQ3_2025,JPM,p2_jpm,2025-10-14,absent,available,available,transition_phrase,1063,EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
JPM_FQ4_2025,JPM,p2_jpm,2026-01-13,absent,available,available,transition_phrase,1552,EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
NFLX_FQ1_2025,NFLX,p2_netflix,2025-04-17,absent,manual,manual,transition_phrase,128,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,"prepared fraction 1.9% < 10% (prepared=128, transcript=6805); marker was transition_phrase",20260820T150023Z
NFLX_FQ1_2026,NFLX,p2_netflix,2026-04-16,absent,manual,manual,transition_phrase,208,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,"prepared fraction 2.4% < 10% (prepared=208, transcript=8658); marker was transition_phrase",20260820T150023Z
NFLX_FQ2_2025,NFLX,p2_netflix,2025-07-17,absent,manual,manual,transition_phrase,123,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,"prepared fraction 1.7% < 10% (prepared=123, transcript=7128); marker was transition_phrase",20260820T150023Z
NFLX_FQ3_2025,NFLX,p2_netflix,2025-10-21,absent,manual,manual,transition_phrase,154,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,"prepared fraction 2.0% < 10% (prepared=154, transcript=7660); marker was transition_phrase",20260820T150023Z
NFLX_FQ4_2024,NFLX,p2_netflix,2025-01-21,absent,manual,manual,transition_phrase,152,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,"prepared fraction 2.2% < 10% (prepared=152, transcript=6920); marker was transition_phrase",20260820T150023Z
NFLX_FQ4_2025,NFLX,p2_netflix,2026-01-20,absent,manual,manual,transition_phrase,206,EARNINGS DOCUMENT; EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,"prepared fraction 2.6% < 10% (prepared=206, transcript=7816); marker was transition_phrase",20260820T150023Z
TGT_FQ1_2025,TGT,p2_target,2025-05-21,available,available,available,transition_phrase,4262,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
TGT_FQ1_2026,TGT,p2_target,2026-05-20,available,available,available,transition_phrase,5302,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
TGT_FQ2_2025,TGT,p2_target,2025-08-20,available,available,available,transition_phrase,5507,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
TGT_FQ3_2025,TGT,p2_target,2025-11-19,available,available,available,transition_phrase,5638,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
BCS_FQ1_2026,BCS,p2_barclays,2026-04-28,available,manual,manual,transition_phrase,724,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"prepared fraction 7.6% < 10% (prepared=724, transcript=9504); marker was transition_phrase",20260820T150023Z
BCS_FQ2_2025,BCS,p2_barclays,2025-07-29,available,manual,manual,transition_phrase,685,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"prepared fraction 7.2% < 10% (prepared=685, transcript=9455); marker was transition_phrase",20260820T150023Z
BCS_FQ3_2025,BCS,p2_barclays,2025-10-22,available,manual,manual,transition_phrase,988,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"prepared fraction 9.9% < 10% (prepared=988, transcript=10012); marker was transition_phrase",20260820T150023Z
F_FQ1_2026,F,p2_ford,2026-04-29,available,available,available,transition_phrase,2377,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
F_FQ2_2025,F,p2_ford,2025-07-30,available,manual,manual,transition_phrase,276,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"prepared fraction 3.0% < 10% (prepared=276, transcript=9087); marker was transition_phrase",20260820T150023Z
F_FQ4_2025,F,p2_ford,2026-02-10,available,available,available,transition_phrase,3216,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
MSFT_FQ1_2025,MSFT,p2_microsoft,2024-10-30,absent,manual,manual,transition_phrase,458,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,"prepared fraction 4.3% < 10% (prepared=458, transcript=10671); marker was transition_phrase",20260820T150023Z
MSFT_FQ1_2026,MSFT,p2_microsoft,2025-10-29,absent,available,available,transition_phrase,4786,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260820T150023Z
MSFT_FQ2_2025,MSFT,p2_microsoft,2025-01-29,absent,manual,manual,transition_phrase,458,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,"prepared fraction 4.6% < 10% (prepared=458, transcript=10017); marker was transition_phrase",20260820T150023Z
PFE_FQ1_2025,PFE,p2_pfizer,2025-04-28,available,manual,manual,transition_phrase,353,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"prepared fraction 2.7% < 10% (prepared=353, transcript=13183); marker was transition_phrase",20260820T150023Z
PFE_FQ1_2026,PFE,p2_pfizer,2026-05-04,available,manual,manual,transition_phrase,349,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"prepared fraction 4.1% < 10% (prepared=349, transcript=8490); marker was transition_phrase",20260820T150023Z
PFE_FQ2_2025,PFE,p2_pfizer,2025-08-04,available,manual,manual,transition_phrase,384,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"prepared fraction 3.0% < 10% (prepared=384, transcript=12673); marker was transition_phrase",20260820T150023Z
PFE_FQ4_2025,PFE,p2_pfizer,2026-02-02,available,manual,manual,transition_phrase,404,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"prepared fraction 3.2% < 10% (prepared=404, transcript=12556); marker was transition_phrase",20260820T150023Z
UAL_FQ1_2025,UAL,p2_united_airlines,2025-04-15,absent,available,available,transition_phrase,3885,EARNINGS DOCUMENT; EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,,20260820T150023Z
UAL_FQ2_2025,UAL,p2_united_airlines,2025-07-16,absent,available,available,transition_phrase,4219,EARNINGS DOCUMENT; EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,,20260820T150023Z
UAL_FQ3_2025,UAL,p2_united_airlines,2025-10-15,absent,manual,manual,transition_phrase,316,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT; EARNINGS DOCUMENT,False,"prepared fraction 2.4% < 10% (prepared=316, transcript=13195); marker was transition_phrase",20260820T150023Z
UAL_FQ4_2025,UAL,p2_united_airlines,2026-01-20,absent,manual,manual,transition_phrase,374,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,"prepared fraction 2.9% < 10% (prepared=374, transcript=12909); marker was transition_phrase",20260820T150023Z
PEP_FQ1_2023,PEP,p2_pepsico,2023-04-25,available,manual,manual,transition_phrase,515,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,"prepared fraction 8.0% < 10% (prepared=515, transcript=6438); marker was transition_phrase",20260820T150023Z
