Company	Ticker	Year	Quarter	Rater	Type (Human/LM)	Sentiment Score (-1 to +1)	Decision (BUY/HOLD/SELL)	Time (mins)	Prior Close ($)	Next Day Open ($)	Actual % Change	Actual Direction	Prediction Correct?	Notes / Risks Flagged
Boeing	BA	2025	Q4	Ben/DeepSeek	LM	0.17	HOLD		$244.56	$244.09				Tone: confident. Risks: KC-46A program: $565 million charge in Q4 driven by higher production support and sup; 777X engine durability issue identified during inspection, though management does not. [Micro=0.25; Blend=0.17] [news]
JPMorgan Chase	JPM	2021	Q1	Ben/DeepSeek	LM	0.25	HOLD		$132.66	$132.70				Tone: optimistic. Risks: Credit reserve releases of $5.2B are not considered core or recurring profits.; Loan demand remained challenged as Card outstandings remain lower despite spend recov. [Micro=0.25; Blend=0.25]
JPMorgan Chase	JPM	2022	Q1	Ben/DeepSeek	LM	-0.10	HOLD		$114.53	$113.81				Tone: mixed. Risks: High inflation and supply chain issues.; The war in Ukraine and its geopolitical and economic challenges.. [Micro=-0.10; Blend=-0.10]
JPMorgan Chase	JPM	2023	Q1	Ben/DeepSeek	LM	0.30	BUY		$128.98	$130.12				Tone: confident. Risks: Banking industry turmoil and potential tightening of financial conditions.; Potentially higher inflation for longer and thus higher interest rates.. [Micro=0.30; Blend=0.30]
JPMorgan Chase	JPM	2024	Q1	Ben/DeepSeek	LM	0.00	HOLD		$174.45	$176.08				Tone: mixed. Risks: Persistent inflationary pressures that 'may likely continue'.; Geopolitical tensions and 'terrible wars and violence' causing global suffering.. [Micro=0.00; Blend=0.00]
JPMorgan Chase	JPM	2025	Q1	Ben/DeepSeek	LM	-0.45	SELL		$230.65	$231.53				Tone: cautious. Risks: Geopolitical and trade-related tensions causing increased market volatility and clien; Potential negatives of tariffs and 'trade wars' on the economy.. [Micro=-0.50; Blend=-0.45] [news]
JPMorgan Chase	JPM	2026	Q1	Ben/DeepSeek	LM	0.15	HOLD		$309.72	$312.54				Tone: confident. Risks: Geopolitical tensions and wars; Energy price volatility. [Micro=0.15; Blend=0.15]
JPMorgan Chase	JPM	2021	Q2	Ben/DeepSeek	LM	0.15	HOLD		$137.35	$137.61				Tone: confident. Risks: Credit reserve releases are not considered core or recurring profits.; Net interest income down 8% YoY, driven by lower CIB Markets NII and lower Card loans. [Micro=0.15; Blend=0.15]
JPMorgan Chase	JPM	2022	Q2	Ben/DeepSeek	LM	-0.15	HOLD		$98.02	$99.08				Tone: cautious. Risks: Geopolitical tension, high inflation, waning consumer confidence, uncertainty about h; Net credit reserve build of $428 million, primarily reflecting loan growth as well as. [Micro=-0.15; Blend=-0.15]
JPMorgan Chase	JPM	2023	Q2	Ben/DeepSeek	LM	0.30	BUY		$140.20	$140.75				Tone: confident. Risks: Material capital changes with finalization of Basel III Endgame and probable changes; Consumers slowly using up cash buffers; core inflation stubbornly high, increasing ri. [Micro=0.30; Blend=0.30]
JPMorgan Chase	JPM	2024	Q2	Ben/DeepSeek	LM	0.00	HOLD		$196.68	$198.84				Tone: mixed. Risks: Geopolitical situation 'potentially the most dangerous since World War II' with unkno; Inflation and interest rates may stay higher than market expects due to fiscal defici. [Micro=0.00; Blend=0.00]
JPMorgan Chase	JPM	2025	Q2	Ben/DeepSeek	LM	0.10	HOLD		$281.17	$282.99				Tone: mixed. Risks: Tariffs and trade uncertainty; Worsening geopolitical conditions. [Micro=0.15; Blend=0.10] [news]
JPMorgan Chase	JPM	2021	Q3	Ben/DeepSeek	LM	0.00	HOLD		$142.92	$143.59				Tone: confident. Risks: Delta variant and supply chain disruptions dampening economic growth.; Credit reserve releases are not core or recurring profits and may introduce quarterly. [Micro=0.00; Blend=0.00]
JPMorgan Chase	JPM	2022	Q3	Ben/DeepSeek	LM	0.00	HOLD		$101.82	$105.69				Tone: mixed. Risks: Stubbornly high inflation leading to higher global interest rates; Uncertain impacts of quantitative tightening. [Micro=0.00; Blend=0.00]
JPMorgan Chase	JPM	2023	Q3	Ben/DeepSeek	LM	-0.15	HOLD		$139.57	$140.94				Tone: cautious. Risks: Geopolitical risks: 'the war in Ukraine compounded by last week’s attacks on Israel m; Regulatory risk: Basel III Endgame proposal could increase capital requirements by ab. [Micro=-0.15; Blend=-0.15]
JPMorgan Chase	JPM	2024	Q3	Ben/DeepSeek	LM	-0.15	HOLD		$214.63	$215.51				Tone: cautious. Risks: Geopolitical situation is 'treacherous and getting worse' with far-reaching effects o; Large fiscal deficits, infrastructure needs, restructuring of trade, and remilitariza. [Micro=-0.15; Blend=-0.15]
JPMorgan Chase	JPM	2025	Q3	Ben/DeepSeek	LM	0.09	HOLD		$297.85	$302.10				Tone: confident. Risks: Heightened uncertainty from complex geopolitical conditions, tariffs and trade uncert; Potential softening in job growth.. [Micro=0.15; Blend=0.09] [news]
JPMorgan Chase	JPM	2020	Q4	Ben/DeepSeek	LM	0.20	HOLD		$120.92	$121.99				Tone: confident. Risks: Credit reserve releases of $2.9B are not considered core or recurring profits and int; Credit reserves of over $30 billion reflect significant near-term economic uncertaint. [Micro=0.20; Blend=0.20]
JPMorgan Chase	JPM	2021	Q4	Ben/DeepSeek	LM	0.15	HOLD		$141.00	$139.12				Tone: confident. Risks: Headwinds from Omicron variant, inflation, and supply chain bottlenecks (CEO commenta; Expense growth from further investments, post-pandemic normalization, and inflationar. [Micro=0.15; Blend=0.15]
JPMorgan Chase	JPM	2022	Q4	Ben/DeepSeek	LM	0.20	HOLD		$131.93	$130.23				Tone: confident. Risks: Geopolitical tensions including the war in Ukraine; Vulnerable state of energy and food supplies. [Micro=0.20; Blend=0.20]
JPMorgan Chase	JPM	2023	Q4	Ben/DeepSeek	LM	-0.15	HOLD		$160.40	$156.44				Tone: cautious. Risks: Quantitative tightening draining over $900B of liquidity from the system annually, wi; Ongoing wars in Ukraine and the Middle East with potential to disrupt energy, food ma. [Micro=-0.15; Blend=-0.15]
JPMorgan Chase	JPM	2024	Q4	Ben/DeepSeek	LM	0.15	HOLD		$244.92	$246.52				Tone: confident. Risks: Ongoing and future spending requirements will likely be inflationary, and therefore,; Geopolitical conditions remain the most dangerous and complicated since World War II.. [Micro=0.15; Blend=0.15]
JPMorgan Chase	JPM	2025	Q4	Ben/DeepSeek	LM	0.10	HOLD		$307.93	$305.26				Tone: confident. Risks: Geopolitical conditions: 'complex geopolitical conditions'; Sticky inflation: 'the risk of sticky inflation'. [Micro=0.10; Blend=0.10] [news]
Netflix	NFLX	2021	Q1	Ben/DeepSeek	LM	0.15	HOLD		$54.96	$50.80				Tone: optimistic. Risks: Paid membership growth slowed due to COVID-19 pull forward in 2020 and a lighter cont; Q1 paid net additions of 4m were below guidance of 6m.. [Micro=0.15; Blend=0.15]
Netflix	NFLX	2022	Q1	Ben/DeepSeek	LM	-0.50	SELL		$34.86	$24.52				Tone: cautious. Risks: Revenue growth has slowed considerably due to high household penetration, account sha; Q1'22 paid net additions were -0.2m vs guidance of 2.5m, with soft acquisition across. [Micro=-0.50; Blend=-0.50]
Netflix	NFLX	2023	Q1	Ben/DeepSeek	LM	0.25	HOLD		$33.37	$32.42				Tone: optimistic. Risks: Password sharing rollout may cause initial cancel reaction before building back.; Advertising business is still early and requires continued development of features an. [Micro=0.25; Blend=0.25]
Netflix	NFLX	2024	Q1	Ben/DeepSeek	LM	0.20	HOLD		$61.06	$56.79				Tone: confident. Risks: FX headwinds from strengthening dollar; Tough comps in the back half of 2024. [Micro=0.20; Blend=0.20]
Netflix	NFLX	2025	Q1	Ben/DeepSeek	LM	0.15	HOLD		$97.30	$98.44				Tone: confident. Risks: Foreign exchange fluctuations partially offset revenue growth (F/X net of hedging).; Intense competition: 'Consumers have so many amazing entertainment choices—our busine. [Micro=0.15; Blend=0.15]
Netflix	NFLX	2026	Q1	Ben/DeepSeek	LM	0.09	HOLD		$107.79	$96.37				Tone: confident. Risks: M&A-related costs, including the Warner Bros. deal and InterPositive acquisition, imp; Nielsen methodology change reducing reported streaming viewership, though management. [Micro=0.15; Blend=0.09] [news]
Netflix	NFLX	2021	Q2	Ben/DeepSeek	LM	0.15	HOLD		$53.10	$52.61				Tone: confident. Risks: COVID-related production delays in 2020 have led to a lighter first half of 2021 slat; COVID and its variants make predicting the future hard.. [Micro=0.15; Blend=0.15]
Netflix	NFLX	2022	Q2	Ben/DeepSeek	LM	-0.50	SELL		$20.16	$20.82				Tone: cautious. Risks: Strengthening US dollar: 'The US dollar continues to strengthen meaningfully against; Uncertain macro-economic environment: 'the current uncertain macro-economic environme. [Micro=-0.50; Blend=-0.50]
Netflix	NFLX	2023	Q2	Ben/DeepSeek	LM	0.30	BUY		$47.76	$44.70				Tone: confident. Risks: Ongoing WGA and SAG strikes affecting content production and timing; General advertising market is soft. [Micro=0.30; Blend=0.30]
Netflix	NFLX	2024	Q2	Ben/DeepSeek	LM	0.30	BUY		$64.30	$66.06				Tone: confident. Risks: Advertising is not yet a primary revenue driver and ads ARM is currently lower than n; Engagement headwinds from paid sharing conversion, though owner household engagement. [Micro=0.30; Blend=0.30]
Netflix	NFLX	2025	Q2	Ben/DeepSeek	LM	0.18	HOLD		$127.42	$124.20				Tone: confident. Risks: Per-member engagement has been 'relatively steady' over the past 2.5 years, not growi; U.S. viewing share has been 'stagnant' or maintained, not grown, despite increased co. [Micro=0.30; Blend=0.18] [news]
Netflix	NFLX	2021	Q3	Ben/DeepSeek	LM	0.15	HOLD		$63.90	$62.56				Tone: optimistic. Risks: COVID-related production delays could impact content slate if new waves or unforeseen; Backloaded content release schedule in Q4 leads to lower operating margins sequential. [Micro=0.15; Blend=0.15]
Netflix	NFLX	2022	Q3	Ben/DeepSeek	LM	0.15	HOLD		$24.09	$26.50				Tone: confident. Risks: Appreciation of the US dollar is a significant headwind, expected to negatively impac; Macroeconomic weakness leading to less-than-normal visibility for Q4 paid net adds.. [Micro=0.15; Blend=0.15]
Netflix	NFLX	2023	Q3	Ben/DeepSeek	LM	0.30	BUY		$34.62	$40.47				Tone: confident. Risks: SAG-AFTRA strike unresolved, impacting content production and timing of content spend; Paid sharing conversion not complete; some borrowers will not convert and must be won. [Micro=0.30; Blend=0.30]
Netflix	NFLX	2024	Q3	Ben/DeepSeek	LM	0.30	BUY		$68.76	$73.76				Tone: confident. Risks: Slight LatAm member net loss in Q3 due to recent price changes in larger markets.; Advertising not yet a primary growth driver; scaling inventory faster than monetizati. [Micro=0.30; Blend=0.30]
Netflix	NFLX	2025	Q3	Ben/DeepSeek	LM	0.09	HOLD		$124.14	$114.29				Tone: confident. Risks: Brazilian tax matter (CIDE) resulted in a one-time charge in cost of revenues coverin; Potential industry consolidation could reshape competitive landscape, though manageme. [Micro=0.15; Blend=0.09] [news]
Netflix	NFLX	2020	Q4	Ben/DeepSeek	LM	0.30	BUY		$50.18	$56.54				Tone: confident. Risks: Competition from legacy competitors like Disney, WarnerMedia, Discovery, AppleTV+, HB; Production risks related to the coronavirus pandemic.. [Micro=0.30; Blend=0.30]
Netflix	NFLX	2021	Q4	Ben/DeepSeek	LM	-0.50	SELL		$50.83	$40.04				Tone: cautious. Risks: Stronger US dollar: with ~60% of revenue outside the US, the dollar's appreciation ov; Acquisition growth has not yet re-accelerated to pre-Covid levels, possibly due to on. [Micro=-0.50; Blend=-0.50]
Netflix	NFLX	2022	Q4	Ben/DeepSeek	LM	0.30	BUY		$31.58	$33.68				Tone: confident. Risks: Paid sharing rollout may cause a cancel reaction and increased churn in the near term; Macro uncertainty affecting all multinationals.. [Micro=0.30; Blend=0.30]
Netflix	NFLX	2023	Q4	Ben/DeepSeek	LM	0.25	HOLD		$49.22	$53.78				Tone: confident. Risks: FX movements could affect ARM and revenue growth (management notes ARM 'could move up; Ads business is not yet a primary driver and scaling may have lags in monetization.. [Micro=0.25; Blend=0.25]
Netflix	NFLX	2024	Q4	Ben/DeepSeek	LM	0.30	BUY		$86.97	$99.80				Tone: confident. Risks: Full-season big-league sports rights remain economically challenging and unlikely to; FX volatility: ~60% of revenue is in non-USD currencies; hedging only a short-term so. [Micro=0.30; Blend=0.30]
Netflix	NFLX	2025	Q4	Ben/DeepSeek	LM	0.18	HOLD		$87.26	$82.52				Tone: confident. Risks: Total view hours growth was only 2% year-on-year in H2 2025, with nuance: branded ori; Engagement metric (view hours) is influenced by plan mix, tenure mix, geography, and. [Micro=0.30; Blend=0.18] [news]
Bank of America	BAC	2021	Q1	Ben/DeepSeek	LM	0.25	HOLD		$34.13	$34.63				Tone: confident. Risks: Low interest rates continue to challenge revenue (CEO: 'While low interest rates cont; Noninterest expense rose 15% to $15.5 billion, driven by elevated net COVID-19 costs,. [Micro=0.25; Blend=0.25]
Bank of America	BAC	2022	Q1	Ben/DeepSeek	LM	0.15	HOLD		$34.89	$35.21				Tone: confident. Risks: Russia-Ukraine conflict: 'Our teams were able to assist clients and navigate through; Lower investment banking revenue: 'Noninterest income declined $968 million, or 8%, t. [Micro=0.15; Blend=0.15]
Bank of America	BAC	2023	Q1	Ben/DeepSeek	LM	0.15	HOLD		$28.12	$27.73				Tone: confident. Risks: Expected shallow recession beginning in Q3 2023 as per company's research team.; Net charge-offs normalizing from historic lows, with credit card loss rate rising to. [Micro=0.15; Blend=0.15]
Bank of America	BAC	2024	Q1	Ben/DeepSeek	LM	0.25	HOLD		$32.93	$33.13				Tone: confident. Risks: Higher deposit costs continue to pressure NII, partially offset by higher asset yield; Net charge-offs increased to $1.5 billion, driven by credit card seasoning and commer. [Micro=0.25; Blend=0.25]
Bank of America	BAC	2025	Q1	Ben/DeepSeek	LM	0.18	HOLD		$36.96	$36.84				Tone: confident. Risks: Impact of lower interest rates on NII: 'partially offset by the impacts of lower inte; Two fewer days of interest accrual in 4Q25 vs. 1Q25: '~($250MM) from two fewer days o. [Micro=0.15; Blend=0.18] [news]
Bank of America	BAC	2026	Q1	Ben/DeepSeek	LM	0.20	HOLD		$54.04	$53.76				Tone: confident. Risks: Impact of U.S. and global interest rates, inflation, currency exchange rates, economi; Geopolitical instability and uncertainties about financial stability and growth rates. [Micro=0.20; Blend=0.20]
Bank of America	BAC	2021	Q2	Ben/DeepSeek	LM	0.25	HOLD		$34.38	$33.97				Tone: confident. Risks: Continued challenge of low interest rates pressuring net interest income.; Noninterest expense rose 12% to $15.0 billion, including a $500 million contribution. [Micro=0.25; Blend=0.25]
Bank of America	BAC	2022	Q2	Ben/DeepSeek	LM	0.15	HOLD		$29.13	$29.71				Tone: confident. Risks: Provision for credit losses increased $2.1 billion to $523 million, reflecting a damp; Noninterest income declined 9% to $10.2 billion, primarily reflecting weaker capital. [Micro=0.15; Blend=0.15]
Bank of America	BAC	2023	Q2	Ben/DeepSeek	LM	0.20	HOLD		$28.48	$28.66				Tone: confident. Risks: Potential $1.9B FDIC special assessment expense for uninsured deposits of failed bank; Higher deposit costs and lower deposit balances pressuring NII.. [Micro=0.20; Blend=0.20]
Bank of America	BAC	2024	Q2	Ben/DeepSeek	LM	0.25	HOLD		$42.16	$41.70				Tone: confident. Risks: Higher deposit costs continue to pressure net interest income.; Net charge-offs increased, driven by credit card and commercial real estate office.. [Micro=0.25; Blend=0.25]
Bank of America	BAC	2025	Q2	Ben/DeepSeek	LM	0.12	HOLD		$45.05	$44.67				Tone: confident. Risks: Impact of lower interest rates on NII (100 bps parallel shift below forward curve est; Provision for credit losses increased to $1.6B from $1.5B in both 2Q24 and 1Q25.. [Micro=0.20; Blend=0.12] [news]
Bank of America	BAC	2021	Q3	Ben/DeepSeek	LM	0.25	HOLD		$40.08	$40.70				Tone: confident. Risks: The document includes a lengthy forward-looking statements section listing numerous r. [Micro=0.25; Blend=0.25]
Bank of America	BAC	2022	Q3	Ben/DeepSeek	LM	0.10	HOLD		$30.56	$31.80				Tone: confident. Risks: Provision for credit losses increased to $898 million from a benefit of $624 million; Noninterest income decreased 8% to $10.7 billion, driven by lower investment banking. [Micro=0.10; Blend=0.10]
Bank of America	BAC	2023	Q3	Ben/DeepSeek	LM	0.20	HOLD		$25.84	$25.76				Tone: confident. Risks: Proposed capital rules (Basel III Endgame) could inflate risk-weighted assets by ~20%; Potential FDIC special assessment of approximately $1.9 billion if enacted.. [Micro=0.20; Blend=0.20]
Bank of America	BAC	2024	Q3	Ben/DeepSeek	LM	0.25	HOLD		$40.52	$40.58				Tone: confident. Risks: Higher deposit costs continue to pressure NII, partially offsetting benefits from ass; Provision for credit losses increased to $1.5B from $1.2B in 3Q23, driven by higher n. [Micro=0.25; Blend=0.25]
Bank of America	BAC	2025	Q3	Ben/DeepSeek	LM	0.13	HOLD		$51.45	$51.76				Tone: confident. Risks: Impact of U.S. and global interest rates, inflation, currency exchange rates, economi; Possibility that future credit losses may be higher than currently expected due to ch. [Micro=0.20; Blend=0.13] [news]
Bank of America	BAC	2020	Q4	Ben/DeepSeek	LM	0.20	HOLD		$28.73	$28.72				Tone: optimistic. Risks: Lower interest rates continue to pressure net interest income (NII declined 16% in Q4; COVID-19 pandemic uncertainty: 'The reserve assessment continues to factor in the unc. [Micro=0.20; Blend=0.20]
Bank of America	BAC	2021	Q4	Ben/DeepSeek	LM	0.20	HOLD		$41.50	$41.72				Tone: confident. Risks: Potential impact of U.S. and global interest rates, inflation, currency exchange rate; Possibility that future credit losses may be higher than currently expected due to ch. [Micro=0.20; Blend=0.20]
Bank of America	BAC	2022	Q4	Ben/DeepSeek	LM	0.10	HOLD		$32.21	$31.72				Tone: mixed. Risks: Net interest income (NII) expected to decline in Q1 2023 due to day count and deposit; Provision for credit losses increased to $1.1 billion from a benefit of $489 million. [Micro=0.10; Blend=0.10]
Bank of America	BAC	2023	Q4	Ben/DeepSeek	LM	0.15	HOLD		$30.93	$30.56				Tone: confident. Risks: Higher deposit costs and lower deposit balances continue to pressure NII.; Net charge-offs are normalizing, with credit card loss rate at 3.07% and commercial r. [Micro=0.15; Blend=0.15]
Bank of America	BAC	2024	Q4	Ben/DeepSeek	LM	0.30	BUY		$45.09	$45.06				Tone: confident. Risks: OCC compliance consent order requiring enhanced compliance and controls, with costs a; NII guidance is contingent on the forward curve materializing (currently expecting on. [Micro=0.30; Blend=0.30]
Bank of America	BAC	2025	Q4	Ben/DeepSeek	LM	0.21	HOLD		$51.92	$52.15				Tone: confident. Risks: Impact of U.S. and global interest rates (including potential for ongoing fluctuation; Geopolitical instability, including military conflicts (Russia/Ukraine, Middle East). [Micro=0.30; Blend=0.21] [news]
Disney	DIS	2021	Q1	Ben/DeepSeek	LM	0.15	HOLD		$185.10	$187.13				Tone: confident. Risks: COVID-19 continues to significantly impact operations, with parks closed or at reduce; Additional costs to address government regulations and implement safety measures are. [Micro=0.15; Blend=0.15]
Disney	DIS	2022	Q1	Ben/DeepSeek	LM	0.25	HOLD		$142.75	$151.27				Tone: confident. Risks: COVID-19 and its variants continue to impact operations, particularly at internationa; Higher programming and production costs at Linear Networks due to contractual rate in. [Micro=0.25; Blend=0.25]
Disney	DIS	2023	Q1	Ben/DeepSeek	LM	0.25	HOLD		$108.38	$114.45				Tone: confident. Risks: Linear Networks operating income expected to decrease ~$1B year-over-year in Q2, with; Direct-to-Consumer operating loss increased $460M year-over-year to $1.1B.. [Micro=0.25; Blend=0.25]
Disney	DIS	2024	Q1	Ben/DeepSeek	LM	0.30	BUY		$96.44	$104.16				Tone: confident. Risks: Lower advertising revenue at Linear Networks due to fewer impressions and lower polit; Decline in affiliate revenue at Linear Networks due to subscriber losses.. [Micro=0.30; Blend=0.30]
Disney	DIS	2025	Q1	Ben/DeepSeek	LM	0.20	HOLD		$108.50	$109.81				Tone: confident. Risks: Rapidly evolving macro environment cited as reason for not changing guidance; Potential impact from cord-cutting and emergence of skinnier bundles. [Micro=0.20; Blend=0.20] [news]
Disney	DIS	2026	Q1	Ben/DeepSeek	LM	0.25	HOLD		$103.66	$103.98				Tone: confident. Risks: International visitation headwinds at domestic parks; Pre-launch costs for Disney Adventure at Disney Cruise Line. [Micro=0.25; Blend=0.25]
Disney	DIS	2021	Q2	Ben/DeepSeek	LM	0.25	HOLD		$172.91	$167.67				Tone: optimistic. Risks: COVID-19 continues to adversely impact results, particularly at Disney Parks, Experie; Estimated additional COVID-19 costs of approximately $1 billion in fiscal 2021 for sa. [Micro=0.25; Blend=0.25]
Disney	DIS	2022	Q2	Ben/DeepSeek	LM	0.15	HOLD		$102.01	$99.77				Tone: confident. Risks: COVID-19 continues to impact international parks and resorts with closures and capaci; Higher programming and production costs at Direct-to-Consumer segment, driving increa. [Micro=0.15; Blend=0.15]
Disney	DIS	2023	Q2	Ben/DeepSeek	LM	0.25	HOLD		$98.06	$91.91				Tone: optimistic. Risks: Linear networks operating income declined 35% YoY due to higher sports costs and lowe; Domestic linear advertising revenue declined 10% YoY; entertainment advertising marke. [Micro=0.25; Blend=0.25]
Disney	DIS	2024	Q2	Ben/DeepSeek	LM	0.30	BUY		$102.52	$102.04				Tone: confident. Risks: Entertainment DTC expected to post a loss in Q3, largely due to Disney+ Hotstar ICC c; Experiences Q3 OI expected roughly comparable to prior year due to timing of Easter,. [Micro=0.30; Blend=0.30]
Disney	DIS	2025	Q2	Ben/DeepSeek	LM	0.37	BUY		$100.21	$102.05				Tone: confident. Risks: Softness in per-cap spending in China due to a challenged Chinese consumer.; International attendance at domestic parks has not returned to pre-COVID levels, with. [Micro=0.50; Blend=0.37] [news]
Disney	DIS	2021	Q3	Ben/DeepSeek	LM	0.25	HOLD		$173.83	$180.62				Tone: confident. Risks: COVID-19 continues to impact operations, with parks operating at reduced capacities a; The company expects to incur approximately $1 billion in additional costs in fiscal 2. [Micro=0.25; Blend=0.25]
Disney	DIS	2022	Q3	Ben/DeepSeek	LM	0.15	HOLD		$109.01	$118.49				Tone: confident. Risks: COVID-19 pandemic impacts on international parks and resorts, including closures and; Higher programming and production costs at Direct-to-Consumer segment, leading to inc. [Micro=0.15; Blend=0.15]
