slug,file,detected_type,check_company,check_period,check_transcript,check_doctype,status,notes
chevron,docs/chevron/CY2025-Q3/CVX_Q3_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
chevron,docs/chevron/CY2025-Q4/CVX_Q4_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,PASS,PASS,PASS,
chevron,docs/chevron/CY2025-Q4/CVX_Q4_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
chevron,docs/chevron/CY2026-Q1/CVX_Q1_2026_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,PASS,PASS,PASS,
chevron,docs/chevron/CY2026-Q1/CVX_Q1_2026_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
colgate_palmolive,docs/colgate_palmolive/CY2025-Q3/CL_Q3_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
colgate_palmolive,docs/colgate_palmolive/CY2025-Q4/CL_Q4_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
colgate_palmolive,docs/colgate_palmolive/CY2026-Q1/CL_Q1_2026_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
colgate_palmolive,docs/colgate_palmolive/CY2026-Q2/CL_Q2_2026_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
costco,docs/costco/CY2026-Q3/COST_Q3_2026_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
costco,docs/costco/CY2026-Q3/COST_Q3_2026_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
datadog,docs/datadog/CY2025-Q2/DDOG_Q2_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
datadog,docs/datadog/CY2025-Q3/DDOG_Q3_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
datadog,docs/datadog/CY2025-Q3/DDOG_Q3_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
datadog,docs/datadog/CY2025-Q4/DDOG_Q4_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
datadog,docs/datadog/CY2025-Q4/DDOG_Q4_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
datadog,docs/datadog/CY2026-Q1/DDOG_Q1_2026_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,PASS,PASS,PASS,
datadog,docs/datadog/CY2026-Q1/DDOG_Q1_2026_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2023-Q1/DUK_Q1_2023_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2023-Q1/DUK_Q1_2023_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2023-Q2/DUK_Q2_2023_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['duke energy']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2023-Q2/DUK_Q2_2023_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2023-Q3/DUK_Q3_2023_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['duke energy']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2023-Q3/DUK_Q3_2023_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2023-Q4/DUK_Q4_2023_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['duke energy']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2023-Q4/DUK_Q4_2023_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2024-Q1/DUK_Q1_2024_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['duke energy']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2024-Q1/DUK_Q1_2024_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2024-Q2/DUK_Q2_2024_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2024-Q2/DUK_Q2_2024_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2024-Q3/DUK_Q3_2024_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['duke energy']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2024-Q3/DUK_Q3_2024_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2024-Q4/DUK_Q4_2024_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['duke energy']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2024-Q4/DUK_Q4_2024_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2025-Q1/DUK_Q1_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['duke energy']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2025-Q1/DUK_Q1_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2025-Q2/DUK_Q2_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['duke energy']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2025-Q2/DUK_Q2_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2025-Q3/DUK_Q3_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['duke energy']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2025-Q3/DUK_Q3_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2025-Q4/DUK_Q4_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['duke energy']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2025-Q4/DUK_Q4_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
duke_energy,docs/duke_energy/CY2026-Q1/DUK_Q1_2026_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
duke_energy,docs/duke_energy/CY2026-Q1/DUK_Q1_2026_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
ebay,docs/ebay/CY2025-Q1/EBAY_Q1_2025_Press_Release.pdf,Press Release,FAIL,PASS,N/A,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['ebay'])
ebay,docs/ebay/CY2025-Q2/EBAY_Q2_2025_Press_Release.pdf,Press Release,FAIL,PASS,N/A,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['ebay'])
ebay,docs/ebay/CY2025-Q3/EBAY_Q3_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
ebay,docs/ebay/CY2026-Q1/EBAY_Q1_2026_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2023-Q1/XOM_Q1_2023_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
exxonmobil,docs/exxonmobil/CY2023-Q1/XOM_Q1_2023_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2023-Q2/XOM_Q2_2023_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['exxonmobil', 'exxon mobil', 'exxon']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
exxonmobil,docs/exxonmobil/CY2023-Q2/XOM_Q2_2023_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2023-Q3/XOM_Q3_2023_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
exxonmobil,docs/exxonmobil/CY2023-Q3/XOM_Q3_2023_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2023-Q4/XOM_Q4_2023_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['exxonmobil', 'exxon mobil', 'exxon']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
exxonmobil,docs/exxonmobil/CY2023-Q4/XOM_Q4_2023_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2024-Q1/XOM_Q1_2024_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
exxonmobil,docs/exxonmobil/CY2024-Q1/XOM_Q1_2024_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2024-Q2/XOM_Q2_2024_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
exxonmobil,docs/exxonmobil/CY2024-Q2/XOM_Q2_2024_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2024-Q3/XOM_Q3_2024_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['exxonmobil', 'exxon mobil', 'exxon']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
exxonmobil,docs/exxonmobil/CY2024-Q3/XOM_Q3_2024_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2024-Q4/XOM_Q4_2024_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['exxonmobil', 'exxon mobil', 'exxon']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
exxonmobil,docs/exxonmobil/CY2024-Q4/XOM_Q4_2024_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2025-Q1/XOM_Q1_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['exxonmobil', 'exxon mobil', 'exxon']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
exxonmobil,docs/exxonmobil/CY2025-Q1/XOM_Q1_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2025-Q2/XOM_Q2_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['exxonmobil', 'exxon mobil', 'exxon']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
exxonmobil,docs/exxonmobil/CY2025-Q2/XOM_Q2_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2025-Q3/XOM_Q3_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['exxonmobil', 'exxon mobil', 'exxon']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
exxonmobil,docs/exxonmobil/CY2025-Q3/XOM_Q3_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2025-Q4/XOM_Q4_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['exxonmobil', 'exxon mobil', 'exxon']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
exxonmobil,docs/exxonmobil/CY2025-Q4/XOM_Q4_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
exxonmobil,docs/exxonmobil/CY2026-Q1/XOM_Q1_2026_Earnings_Call_Transcript.htm,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['exxonmobil', 'exxon mobil', 'exxon']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
exxonmobil,docs/exxonmobil/CY2026-Q1/XOM_Q1_2026_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
freeport_mcmoran,docs/freeport_mcmoran/CY2025-Q2/FCX_Q2_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
freeport_mcmoran,docs/freeport_mcmoran/CY2025-Q2/FCX_Q2_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
freeport_mcmoran,docs/freeport_mcmoran/CY2025-Q4/FCX_Q4_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
freeport_mcmoran,docs/freeport_mcmoran/CY2025-Q4/FCX_Q4_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
freeport_mcmoran,docs/freeport_mcmoran/CY2026-Q1/FCX_Q1_2026_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
freeport_mcmoran,docs/freeport_mcmoran/CY2026-Q1/FFCX_Q1_2026_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
heineken,docs/heineken/CY2024-Q1/HEINY_Q1_2024_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
heineken,docs/heineken/CY2024-Q2/HEINY_Q2_2024_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
heineken,docs/heineken/CY2024-Q3/HEINY_Q3_2024_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
heineken,docs/heineken/CY2025-Q3/HEINY_Q3_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
hermes,docs/hermes/CY2025-Q1/RMSP.XC_Q1_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['hermès', 'hermes']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
hermes,docs/hermes/CY2025-Q1/RMSP.XC_Q1_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
hermes,docs/hermes/CY2025-Q2/RMSP.XC_Q2_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['hermès', 'hermes']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
hermes,docs/hermes/CY2025-Q2/RMSP.XC_Q2_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
hermes,docs/hermes/CY2025-Q3/RMSP.XC_Q3_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['hermès', 'hermes']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
hermes,docs/hermes/CY2025-Q3/RMSP.XC_Q3_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
hermes,docs/hermes/CY2025-Q4/RMSP.XC_Q4_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['hermès', 'hermes']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
hermes,docs/hermes/CY2025-Q4/RMSP.XC_Q4_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
home_depot,docs/home_depot/CY2025-Q2/HD_Q2_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
home_depot,docs/home_depot/CY2025-Q2/HD_Q2_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
home_depot,docs/home_depot/CY2025-Q3/HD_Q3_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
home_depot,docs/home_depot/CY2025-Q3/HD_Q3_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
home_depot,docs/home_depot/CY2025-Q4/HD_Q4_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
home_depot,docs/home_depot/CY2025-Q4/HD_Q4_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
home_depot,docs/home_depot/CY2026-Q1/HD_Q1_2026_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,PASS,PASS,PASS,
home_depot,docs/home_depot/CY2026-Q1/HD_Q1_2026_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
intel,docs/intel/CY2025-Q2/INTC_Q2_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,FAIL,PASS,FAIL,Transcript: no Q&A opening phrase found — may be prepared remarks only or wrong document
intel,docs/intel/CY2025-Q2/INTC_Q2_2025_Press_Release.htm,Press Release,FAIL,PASS,N/A,PASS,FAIL,Company name not found in first 2000 chars (looked for: ['intel'])
intel,docs/intel/CY2025-Q3/INTC_Q3_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
intel,docs/intel/CY2025-Q3/INTC_Q3_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
intel,docs/intel/CY2025-Q4/INTC_Q4_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
intel,docs/intel/CY2025-Q4/INTC_Q4_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
intel,docs/intel/CY2026-Q1/INTC_Q1_2026_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
mastercard,docs/mastercard/CY2025-Q2/EMA_Q2_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
mastercard,docs/mastercard/CY2025-Q2/MA_Q2_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
mastercard,docs/mastercard/CY2025-Q3/MA_Q3_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
mastercard,docs/mastercard/CY2025-Q3/MA_Q3_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
mastercard,docs/mastercard/CY2025-Q4/MA_Q4_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
mastercard,docs/mastercard/CY2025-Q4/MA_Q4_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
mastercard,docs/mastercard/CY2026-Q1/MA_Q1_2026_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
mastercard,docs/mastercard/CY2026-Q1/MA_Q1_2026_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
nestle,docs/nestle/CY2024-Q3/NSRGY_Q3_2024_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,PASS,PASS,PASS,
nestle,docs/nestle/CY2024-Q3/NSRGY_Q3_2024_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
nestle,docs/nestle/CY2026-Q1/NSRGY_Q1_2026_Earnings_Call_Transcript.pdf,Earnings Call Transcript,FAIL,PASS,WARN,PASS,FAIL,"Company name not found in first 2000 chars (looked for: ['nestlé', 'nestle']); Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation"
nestle,docs/nestle/CY2026-Q1/NSRGY_Q1_2026_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
shell,docs/shell/CY2025-Q2/SHEL_Q2_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,FAIL,PASS,FAIL,Transcript: no Q&A opening phrase found — may be prepared remarks only or wrong document
shell,docs/shell/CY2025-Q2/SHEL_Q2_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
shell,docs/shell/CY2025-Q3/SHEL_Q3_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,FAIL,PASS,FAIL,Transcript: no Q&A opening phrase found — may be prepared remarks only or wrong document
shell,docs/shell/CY2025-Q3/SHEL_Q3_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
shell,docs/shell/CY2025-Q4/SHEL_Q4_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,FAIL,PASS,FAIL,Transcript: no Q&A opening phrase found — may be prepared remarks only or wrong document
shell,docs/shell/CY2025-Q4/SHEL_Q4_2025_Press_Release.pdf.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
shell,docs/shell/CY2026-Q1/SHEL_Q1_2026_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,FAIL,PASS,FAIL,Transcript: no Q&A opening phrase found — may be prepared remarks only or wrong document
shell,docs/shell/CY2026-Q1/SHEL_Q1_2026_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
shopify,docs/shopify/CY2025-Q3/SHOP_Q3_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
shopify,docs/shopify/CY2025-Q3/SHOP_Q3_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
