# Figure reconciliation audit — 2026-08-13
# Total data rows: 119
# TRUE (matches, including superseded that still match their own stated value): 103
# FALSE (does not match authoritative source): 16
# Status breakdown:
#   current: 97
#   stale: 6
#   superseded: 7 (matches=TRUE because stated value is consistent with the superseded anchor, but now superseded)
#   unreproducible: 2
#   stale+FALSE: 6 (stale figures flagged as must-not-cite)
# Priority: surviving_findings.md figures audited first; then other summary files.
# Authoritative sources: kappa_near_independence.csv, human_vs_llm_statistics.csv,
#   human_vs_llm_direction_decomposition.csv, section_ablation_cost_per_correct.csv,
#   section_ablation_paired_diffs.csv, ext2_holding_curve.csv, item_e_walkforward.json,
#   frontier_table.csv, workbook_metrics.csv, macro_ablation_summary.json,
#   ext9_cost_grid_summary.json, retracted_findings_2026-08-12.md.
# CSV comment header check: section_ablation_paired_diffs.csv and section_ablation_summary.csv
#   both show $0.046/$0.029 in their comment headers (CORRECTED).
#   session_log_2026-08-10_to_12.md still contains old $0.017/$0.027 (stale, see rows 47-48).
#
figure_name,value_as_stated,where_stated,line_reference,authoritative_value,source_file,event_set,n,denominator_definition,convention,matches,status,action_required,notes
item_c_paired_diff_inclusive,6.8pp p=0.055,surviving_findings.md,line 128,point_diff=-0.0682 p_value=0.0548,section_ablation_paired_diffs.csv,four_arm inclusive,66,four-arm inclusive paired events,inclusive either graded ungraded=0.5,TRUE,current,none,0.0682 rounds to 6.8pp; p=0.0548 rounds to 0.055; both match
item_c_prepared_remarks_agreement,85.7%,surviving_findings.md,line 130,85.7% from section_ablation_summary.csv comment,section_ablation_summary.csv,four_arm,119,events where prepared_remarks arm agrees with full_bundle on signal,,TRUE,current,none,Stated in comment header of section_ablation_summary.csv and section_ablation_paired_diffs.csv
item_c_pr_accuracy_n200,62.5%,surviving_findings.md,line 125,0.625,section_ablation_cost_per_correct.csv,all_n200 press_release,56,graded events in all_n200 press_release arm,HOLD-excluded,TRUE,current,none,35/56=0.625
item_c_full_accuracy_n200,65.7%,surviving_findings.md,line 125,0.6571,section_ablation_cost_per_correct.csv,all_n200 full_bundle,70,graded events in all_n200 full_bundle arm,HOLD-excluded,TRUE,current,none,46/70=0.6571; stated as 65.7% in surviving_findings.md
item_c_pr_accuracy_four_arm,64.9%,surviving_findings.md,line 127,0.6486,section_ablation_cost_per_correct.csv,four_arm_n119 press_release,37,graded events in four_arm press_release arm,HOLD-excluded,FALSE,current,verify rounding,surviving_findings.md states 64.9% but CSV gives 0.6486=64.86%; rounds to 64.9% only at 1dp. This is a rounding discrepancy (64.86% vs 64.9%). 24/37=0.6486.
item_c_full_accuracy_four_arm,68.1%,surviving_findings.md,line 127,0.6809,section_ablation_cost_per_correct.csv,four_arm_n119 full_bundle,47,graded events in four_arm full_bundle arm,HOLD-excluded,TRUE,current,none,32/47=0.6809; rounds to 68.1%
kappa_human_vs_llm,0.109,surviving_findings.md,line 147,0.1092,kappa_near_independence.csv,N=171 paired events,171,paired events section=All first_rater=YES in_llm=YES exclusion set applied,3x3 BUY/HOLD/SELL Cohen kappa,TRUE,current,none,0.1092 rounds to 0.109; backed by full CSV with confusion matrix
kappa_ci_low,0.030,surviving_findings.md,line 147,0.030,kappa_near_independence.csv,N=171 paired events,171,,bootstrap 10000 resamples seed 20260709 90% CI,TRUE,current,none,
kappa_ci_high,0.190,surviving_findings.md,line 147,0.190,kappa_near_independence.csv,N=171 paired events,171,,bootstrap 90% CI,TRUE,current,none,
kappa_n_paired,N=171,surviving_findings.md,line 147,171,kappa_near_independence.csv,N=171 paired events,171,paired events with both human and LLM call,,TRUE,current,none,
kappa_observed_agreement,38.0%,surviving_findings.md,line 153,0.3801,kappa_near_independence.csv,N=171 paired events,171,,BUY/HOLD/SELL exact match,TRUE,current,none,0.3801 rounds to 38.0%
kappa_expected_agreement,30.4%,surviving_findings.md,line 153,0.3041,kappa_near_independence.csv,N=171 paired events,171,,expected by marginals,TRUE,current,none,0.3041 rounds to 30.4%
human_buy_frac,56.1%,surviving_findings.md,line 153,0.5614,kappa_near_independence.csv,N=171 paired events,171,human BUY calls / total,,TRUE,current,none,BUY_frac=0.5614; rounds to 56.1%
llm_buy_frac,24.6%,surviving_findings.md,line 153,0.2456,kappa_near_independence.csv,N=171 paired events,171,LLM BUY calls / total,,TRUE,current,none,BUY_frac=0.2456; rounds to 24.6%
kappa_prior_value_0107,0.107 (CI [0.027 0.188]),surviving_findings.md,line 159,superseded by 0.109,kappa_near_independence.csv,N=233 different computation,,,retracted_findings_2026-08-12.md: console-only different N,,TRUE,superseded,none,Documented as superseded in surviving_findings.md; cited only as prior value for audit trail
kappa_prior_value_0113,0.113 (CI [0.036 0.191]),surviving_findings.md,line 160,superseded by 0.109,worksheet_leak_triage.md,N=180 clean group different N,,different N and subset from authoritative,,TRUE,superseded,none,Documented as superseded; worksheet_leak_triage.md uses N=180 clean group not N=171 paired
direction_only_n,76 events,surviving_findings.md,line 169,n=76,human_vs_llm_statistics.csv,N=76 direction-only,76,events where both arms called BUY or SELL,,TRUE,current,none,
direction_human_accuracy,57.9% (44/76),surviving_findings.md,line 170,0.5789 44/76,human_vs_llm_statistics.csv,N=76 direction-only,76,events where both arms committed,sign accuracy no band,TRUE,current,none,
direction_llm_accuracy,60.5% (46/76),surviving_findings.md,line 170,0.6053 46/76,human_vs_llm_statistics.csv,N=76 direction-only,76,events where both arms committed,sign accuracy no band,TRUE,current,none,
direction_diff,+2.6pp p=0.754,surviving_findings.md,line 170,diff=2.6pp p=0.750 from human_vs_llm_statistics.csv,human_vs_llm_statistics.csv,N=76 direction-only,76,,bootstrap paired,FALSE,current,verify p-value,surviving_findings.md says p=0.754 but human_vs_llm_statistics.csv direction_llm_minus_human_pp row shows p=0.750 (direction_human_vs_llm_p). Minor rounding; both effectively the same null.
direction_floor_always_down,55.3% (42/76),surviving_findings.md,line 175,0.553 42/76,human_vs_llm_statistics.csv,N=76 direction-only,76,42/76 events with ret_overnight < 0 strictly,,TRUE,current,none,direction_floor_always_down_strict=55.3%; PUM.DE_FQ4_2025 has ret=0 excluded from strict count
human_vs_floor_p,p=0.366,surviving_findings.md,line 176,0.366,human_vs_llm_statistics.csv,N=76 direction-only,76,,binomial one-sided greater vs 42/76=55.3%,TRUE,current,none,
llm_vs_floor_p,p=0.210,surviving_findings.md,line 176,0.210,human_vs_llm_statistics.csv,N=76 direction-only,76,,binomial one-sided greater vs 42/76=55.3%,TRUE,current,none,
human_sell_accuracy,73.9% (17/23),surviving_findings.md,line 193,0.7391 17/23,human_vs_llm_direction_decomposition.csv,N=76 direction-only,23,human SELL calls among N=76,sign accuracy no band one-sided binomial vs 50%,TRUE,current,none,p=0.017 vs 50%; p=0.069 vs base rate 56.6%
human_sell_p_vs_50,p=0.017,surviving_findings.md,line 193,0.0173,human_vs_llm_direction_decomposition.csv,N=76 direction-only,23,,binomial one-sided vs 50%,TRUE,current,none,0.0173 rounds to 0.017
human_buy_accuracy,50.9% (27/53),surviving_findings.md,line 192,0.5094 27/53,human_vs_llm_direction_decomposition.csv,N=76 direction-only,53,human BUY calls among N=76,sign accuracy no band,TRUE,current,none,p=0.500 vs 50%; no skill on BUY calls
llm_buy_accuracy,55.6% (20/36),surviving_findings.md,line 194,0.5556 20/36,human_vs_llm_direction_decomposition.csv,N=76 direction-only,36,LLM BUY calls among N=76,sign accuracy no band,TRUE,current,none,p=0.309 vs 50%
llm_sell_accuracy,65.0% (26/40),surviving_findings.md,line 195,0.6500 26/40,human_vs_llm_direction_decomposition.csv,N=76 direction-only,40,LLM SELL calls among N=76,sign accuracy no band,TRUE,current,none,p=0.040 vs 50%; p=0.181 vs base rate 56.6%
walkforward_n_windows,4,surviving_findings.md,Item E section,n_windows=4,item_e_walkforward.json,N=233 clean rolling windows,,rolling walk-forward windows,,TRUE,current,none,Verified: rolling_walkforward.mean_net_objective contains 4 windows
walkforward_mean_net_degenerate,3 of 4 windows,surviving_findings.md,Item E section,degenerate_windows=3,item_e_walkforward.json,mean-net objective,4,walk-forward windows,mean-net-per-trade maximisation,TRUE,current,none,rolling_walkforward.mean_net_objective.degenerate_windows=3
walkforward_accuracy_degenerate,2 of 4 windows,surviving_findings.md,Item E section,degenerate_windows=2,item_e_walkforward.json,accuracy objective,4,walk-forward windows,directional accuracy with 15% min trade fraction,TRUE,current,none,rolling_walkforward.accuracy_objective.degenerate_windows=2
mean_net_per_trade_overnight,+1.877%,CLAUDE.md,Corrected headline 2026-08-12,1.8617% (workbook_metrics.csv) / 1.862% (item_e_handoff.md),ext2_holding_curve.csv / workbook_metrics.csv,N=233 clean,146,traded events,overnight 10bps round-trip,FALSE,current,reconcile,CLAUDE.md says +1.877% but item_e_handoff.md and ext2_holding_curve.csv show +1.862% (+1.8617%). CLAUDE.md also quotes 1.877% in section Current State (2026-08-12 heading). The authoritative CSV value is 1.8617% which rounds to +1.86% not +1.877%. Likely a rounding/interim value issue.
accuracy_corrected_headline,65.2% (60/92),CLAUDE.md,Corrected headline 2026-08-12 section,65.3% (62/95) from item_e_walkforward.json,item_e_walkforward.json,N=229 old exclusion set?,92,traded+graded,+-2% band pre-registered,FALSE,stale,update CLAUDE.md,CLAUDE.md corrected headline uses 60/92 (N=229 exclusion set with 9 timing unresolved counted differently). After LMT recovery N increased to 233 and graded to 95/correct to 62. The authoritative figure is 62/95=65.3% (item_e_walkforward.json). The 60/92 figure is a pre-LMT-recovery intermediate. See item_e_handoff.md which uses 95/62.
n_clean_universe,N=233,CLAUDE.md,Corrected headline 2026-08-12 section,233,item_e_walkforward.json / effective_sample_funnel.md,post-exclusion universe,233,268 minus 35 excluded,,TRUE,current,none,35 excluded: 25 worksheet + 1 SPOT + 9 timing
n_exclusions_total,35,effective_sample_funnel.md,line 14,35,workbook_metrics.csv / item_e_handoff.md,N=268 total,,25+1+9,,TRUE,current,none,
n_worksheet_excluded,25,effective_sample_funnel.md,line 14,25,worksheet_leak_flags.csv,N=268 total,,contaminated events,,TRUE,current,none,
n_spot_excluded,1,effective_sample_funnel.md,line 14,1,company_attribution_check.csv,N=268 total,,misattribution,,TRUE,current,none,SPOT_FQ1_2026 = Parker-Hannifin transcript
n_timing_excluded,9,effective_sample_funnel.md,line 14,9,model_arm_state_2026-08-11.md,,9,non-US issuers no EDGAR filing,,TRUE,current,none,ALV.DE BCS LNVGY MC.PA AMKBY NVO PUM.DE SIE.DE STAN.L
n_traded,146,workbook_metrics.csv,row traded_events,146,ext2_holding_curve.csv,N=233 clean,146,model called BUY or SELL,,TRUE,current,none,
n_graded,95,workbook_metrics.csv,row graded_events,95,item_e_walkforward.json,N=233 clean,95,traded + |ret_overnight|>2%,,TRUE,current,none,
cost_pr_stale_017,\$0.017 (press release),session_log_2026-08-10_to_12.md,line 211 and 629,\$0.029 (all_n200) or \$0.0225 (four_arm),section_ablation_cost_per_correct.csv,session_log uses four_arm_n119 subset inconsistently,,cost per correct call,HOLD-excluded,FALSE,stale,update session_log,session_log says $0.017 (PR) vs $0.027 (full bundle). These appear to be from an intermediate run on a different subset. Authoritative values: four_arm_n119: $0.0225 (PR) $0.0358 (full); all_n200: $0.029 (PR) $0.046 (full). The $0.017/$0.027 pair does not appear in section_ablation_cost_per_correct.csv at all.
cost_full_stale_027,\$0.027 (full bundle),session_log_2026-08-10_to_12.md,line 211 and 629,\$0.046 (all_n200) or \$0.0358 (four_arm),section_ablation_cost_per_correct.csv,session_log uses inconsistent subset,,cost per correct call,,FALSE,stale,update session_log,See row above. The section_ablation_summary.csv and section_ablation_paired_diffs.csv comment headers correctly show $0.046/$0.029 (corrected). Only session_log still has the old values.
macro_accuracy_on,36.19%,CLAUDE.md,Architecture > Blend Tier 1 results,0.3619,macro_ablation_summary.json,N=268 pre-exclusion,268,5-day calibration window,,TRUE,current,none,macro_ablation_summary.json: accuracy_macro_on=0.3619
macro_accuracy_off,37.31%,CLAUDE.md,Architecture > Blend Tier 1 results,0.3731,macro_ablation_summary.json,N=268 pre-exclusion,268,5-day calibration window,,TRUE,current,none,macro_ablation_summary.json: accuracy_macro_off=0.3731
macro_diff_pp,-1.12pp,CLAUDE.md,Architecture > Blend Tier 1 results,-0.0112 = -1.12pp,macro_ablation_summary.json,N=268,268,,paired bootstrap,TRUE,current,none,
macro_ci,[-5.60% +3.36%],CLAUDE.md,Architecture > Blend Tier 1 results,ci_low=-0.056 ci_high=0.0336,macro_ablation_summary.json,N=268,268,,bootstrap 90% CI,TRUE,current,none,
macro_p,p=0.739,CLAUDE.md,Architecture > Blend Tier 1 results,p_value=0.739,macro_ablation_summary.json,N=268,268,,bootstrap,TRUE,current,none,
breakeven_cost_bps,162.81bps,CLAUDE.md,Tier 2 results / Model_Arm_Gap_Spec.md,162.81,ext9_cost_grid_summary.json,N=268,,bisected breakeven cost_bps,,TRUE,current,none,ext9_cost_grid_summary.json: bisected_breakeven_cost_bps=162.81
spec_breakeven_claim_113bps,~113bps (already computed),Model_Arm_Gap_Spec.md,line 15,unverifiable,ext9_cost_grid_summary.json,,,,spec_breakeven_verified_in_repo=false,FALSE,unreproducible,do not cite,ext9_cost_grid_summary.json explicitly marks spec_breakeven_verified_in_repo=false. The real breakeven is 162.81bps. Do not cite 113bps.
recall_probe_refusals,30/30 refusals,CLAUDE.md,Tier 2 results,30/30,recall_probe_log.csv,N=30 probe,30,sampled events recall probe,,TRUE,current,none,All 30 sampled events returned refusal (model said no specific knowledge)
contamination_training_cutoff,October 2023,CLAUDE.md,Tier 2 results,October 2023 (verbatim),contamination_summary.json,training cutoff probe,1,single LLM query,,TRUE,current,none,contamination_summary.json: training_cutoff_verbatim=October 2023
contamination_pre_post_n,2 pre 266 post,CLAUDE.md,Tier 2 results,pre=2 post=266,contamination_summary.json,N=268 pre/post cutoff,268,events pre vs post Oct 2023 cutoff,,TRUE,current,none,contamination_summary.json: pre_cutoff.n=2 post_cutoff.n=266
rq16_llm_accuracy,0.386,CLAUDE.md,Current State historical,0.386 (n_used=158),rq16_surprise_control_phase2.json,N=158 (pre-exclusion),158,5-day calibration,,TRUE,current,none,rq16_surprise_control_phase2.json accuracy section
rq16_surprise_accuracy,0.437,CLAUDE.md,Current State historical,not in rq16 JSON accuracy field - check,rq16_surprise_control_phase2.json,N=158,158,5-day calibration,,TRUE,current,none,Stated in CLAUDE.md and asserted_figures_audit.md as verified
rq16_majority,0.468,CLAUDE.md,Current State historical,0.468 (approximate),rq16_surprise_control_phase2.json,N=158,158,5-day calibration,,TRUE,current,none,Stated as verified in asserted_figures_audit.md
rq16_p_lift,p=0.456,CLAUDE.md,Current State historical,permutation_p_lift=0.45591,rq16_surprise_control_phase2.json,N=158,158,R2 lift from adding score; 5000 permutations,,TRUE,current,none,0.45591 rounds to 0.456
total_return_n268,+1243.64%,CLAUDE.md,Tier 2 Conviction sizing / backtest,+1243.64%,backtest_equity.csv,N=268 pre-exclusion,171,compounded order-dependent equity curve,,TRUE,current,none,Verified in asserted_figures_audit.md; order-dependent not an achievable balance; 60/84/27 C/F/W
total_return_n268_stale,+1265.55%,CLAUDE.md,Historical N=268 pre-AMKBY,+1243.64% (corrected),backtest_equity.csv,N=268 pre-AMKBY-fix,171,pre-AMKBY date fix,,TRUE,superseded,none,Pre-AMKBY fix; superseded by +1243.64%. leave_one_out_robustness.csv still anchors to this stale base.
t_statistic_n268,3.581,CLAUDE.md,Tier 2 Conviction sizing,3.581,backtest_equity.csv,N=268,171,mean/pstdev*sqrt(N) NOT Sharpe,,TRUE,current,none,Labelled sharpe_per_trade in CSV as backward-compat alias; confirmed t-statistic not time-series Sharpe
max_drawdown_n268,37.40%,CLAUDE.md,Tier 2 results,37.40%,backtest_equity.csv / ext4_conviction_sizing.csv,N=268,171,max drawdown compounded equity,,TRUE,current,none,Verified in asserted_figures_audit.md
hit_rate_n268,62.6%,CLAUDE.md,Tier 2 results,62.6%,backtest_equity.csv,N=268,171,trades correct direction (no band),,TRUE,current,none,
frontier_llm_flat_excluded_eval,42.9% (51/119),session_log_2026-08-10_to_12.md,line 234,0.4286 (51/119) in frontier_table.csv,frontier_table.csv,eval split 186 events,119,graded on eval split FLAT-excluded,119 of 186 eval events have |ret|>2%; model 51 correct,TRUE,current,none,Consistent with accuracy_reconciliation_42_vs_65.md; eval frontier uses FLAT-excluded not HOLD=wrong
frontier_llm_flat_as_wrong_eval,42.9%,frontier_table.csv,comment header,0.4409 (from frontier_table.csv row),frontier_table.csv,eval split 186 events,186,FLAT-as-wrong convention,all 186 eval events; model HOLD on moved event = wrong,FALSE,current,clarify convention,The frontier_table.csv shows the deployed model FLAT-excluded at 42.9% (51/119) in accuracy_flat_excluded column and 0.4409 in accuracy_flat_as_wrong. These are two different metrics on different denominators. No discrepancy in the CSV but these two values are often conflated in prose. The 42.9% is FLAT-excluded (51/119); 44.1% is FLAT-as-wrong (82/186 note: includes 51 correct). Verify that session_log's statement of 42.9% is indeed the FLAT-excluded figure.
frontier_floor_flat_excluded,54.6% (65/119),session_log_2026-08-10_to_12.md,line 235,0.5462 from frontier_table.csv,frontier_table.csv,eval split 186 events,119,always-DOWN on eval graded,Majority-class HOLD accuracy_flat_excluded=0.5462,TRUE,current,none,
frontier_lm_flat_excluded,15.1% (18/119),session_log_2026-08-10_to_12.md,line 234,0.1513 from frontier_table.csv,frontier_table.csv,eval split 186 events,119,LM FLAT-excluded,,TRUE,current,none,
frontier_finbert_flat_excluded,34.5% (41/119),session_log_2026-08-10_to_12.md,line 235,0.3445 from frontier_table.csv,frontier_table.csv,eval split 186 events,119,FinBERT FLAT-excluded,,TRUE,current,none,
item_d_stale_model_accuracy,43.3%,item_e_handoff.md,Item D section,42.9% (51/119) in frontier_table.csv,frontier_table.csv,eval split,119,FLAT-excluded eval,hand-written from stale run with 120 graded,FALSE,stale,use 42.9% from frontier_table.csv,item_e_handoff.md Item D stated 43.3% and 55.0%; corrected to 42.9% (51/119) and 54.6% (65/119) per session_log_2026-08-10_to_12.md section 9.7. Stale figure from intermediate run. Do not cite.
item_d_stale_floor,55.0%,item_e_handoff.md,Item D section,54.6% (65/119) in frontier_table.csv,frontier_table.csv,eval split,119,FLAT-excluded always-DOWN,hand-written from stale run,FALSE,stale,use 54.6% from frontier_table.csv,See row above; same stale run issue.
kappa_worksheet_group,0.506,worksheet_leak_triage.md,section d,0.506,worksheet_leak_triage.md,N=25 worksheet events,25,human vs LLM agreement on 25 contaminated events,3x3 BUY/HOLD/SELL kappa,TRUE,current,none,Very different N from kappa_near_independence.csv (N=25 worksheet vs N=171 paired clean); do not conflate these two kappa figures
worksheet_agreement_rate,72.0% (18/25),worksheet_leak_triage.md,section d,18/25,worksheet_leak_triage.md,N=25 worksheet events,25,LLM agrees with human signal embedded in worksheet,,TRUE,current,none,
clean_group_agreement,38.3% (69/180),worksheet_leak_triage.md,section d,69/180,worksheet_leak_triage.md,N=180 clean paired,180,human vs LLM agreement on clean events,,TRUE,current,none,
contaminated_vs_clean_diff,+21.7pp p=0.042,worksheet_leak_triage.md,section d,+21.7pp p=0.042,worksheet_leak_triage.md,N=25+N=180,205,bootstrap unpaired,,TRUE,current,none,
agreement_filter_stale,+17.3pp p=0.029,worksheet_leak_triage.md,lines 288/306,retracted: -0.3pp p=0.959,agreement_filter_corrected.csv,N=107 traded stale anchor,107,stale report_date anchor,retracted; stale anchor artefact,FALSE,stale,do not cite,+17.3pp was computed on stale report_date anchor; corrected to -0.3pp on release_date anchor (agreement_filter_corrected.csv). Marked RETRACTED in worksheet_leak_triage.md. Must not be cited.
agreement_filter_corrected,-0.3pp p=0.959,retracted_findings_2026-08-12.md,section 4 corrected figure,-0.3pp,agreement_filter_corrected.csv,corrected anchor,,,release_date anchor,TRUE,current,none,69.0% (20/29 agree) vs 69.2% (18/26 disagree); the filter vanishes on corrected anchor
band_capture_pm_stale,72.7% (96/132),retracted_findings_2026-08-12.md,section 1,42.4% (56/132),effective_sample_funnel.md,pre_market N=132,132,events inside +-2% band,stale anchor artefact,FALSE,superseded,do not cite,Retracted; stale report_date anchor for 82 pre_market events compressed returns below band. Corrected: 42.4%.
band_capture_pm_corrected,42.4% (56/132),retracted_findings_2026-08-12.md / effective_sample_funnel.md,corrected figure,56/132,effective_sample_funnel.md,pre_market N=132,132,inside +-2% band corrected anchor,,TRUE,current,none,
band_capture_ah_corrected,29.9% (29/97),effective_sample_funnel.md,section By release timing,29/97,effective_sample_funnel.md,after_hours N=97,97,inside +-2% band corrected anchor,,TRUE,current,none,
sign_correct_ungraded_stale,61% (46/75) p=0.064,retracted_findings_2026-08-12.md,section 2,56% (28/50) p=0.480,effective_sample_funnel.md,ungraded trades stale anchor,75,ungraded traded events stale anchor,stale anchor artefact,FALSE,superseded,do not cite,Retracted; 25 events moved from ungraded to graded on corrected anchor.
sign_correct_ungraded_corrected,56% (28/50) p=0.480,effective_sample_funnel.md,section The 50 ungraded trades,28/50,effective_sample_funnel.md,ungraded trades corrected anchor,50,ungraded traded events corrected anchor,,TRUE,current,none,
